payload,label,source
"GET http://localhost:8080/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito%7C HTTP/1.1 User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) Pragma: no-cache Cache-control: no-cache Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5 Accept-Encoding: x-gzip, x-deflate, gzip, deflate Accept-Charset: utf-8, utf-8;q=0.5, *;q=0.5 Accept-Language: en Host: localhost:8080 Cookie: JSESSIONID=6CA19DDDBE193881388C68AC0A9BB4AA Connection: close",cmdi,csic_2010
B2=Vaciar+carrito%7C,cmdi,csic_2010
"GET http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=pravato&password=rastrero&nombre=Robustiana&apellidos=Laspiur&email=kurz%40kayaalicante.cn&dni=60962318J&direccion=C%2F+Santa+Anna%2C+S%2FN+&ciudad=Villaespasa&cp=26292&provincia=Navarra&ntc=%7C&B1=Registrar HTTP/1.1 User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) Pragma: no-cache Cache-control: no-cache Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5 Accept-Encoding: x-gzip, x-deflate, gzip, deflate Accept-Charset: utf-8, utf-8;q=0.5, *;q=0.5 Accept-Language: en Host: localhost:8080 Cookie: JSESSIONID=080DCC2F871CAA9082E9EAC6B759DABE Connection: close",cmdi,csic_2010
modo=registro&login=pravato&password=rastrero&nombre=Robustiana&apellidos=Laspiur&email=kurz%40kayaalicante.cn&dni=60962318J&direccion=C%2F+Santa+Anna%2C+S%2FN+&ciudad=Villaespasa&cp=26292&provincia=Navarra&ntc=%7C&B1=Registrar,cmdi,csic_2010
"GET http://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=Jam%F3n+Ib%E9rico&precio=85%7C&cantidad=80&B1=A%F1adir+al+carrito HTTP/1.1 User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) Pragma: no-cache Cache-control: no-cache Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5 Accept-Encoding: x-gzip, x-deflate, gzip, deflate Accept-Charset: utf-8, utf-8;q=0.5, *;q=0.5 Accept-Language: en Host: localhost:8080 Cookie: JSESSIONID=76CFEAE9734E8DAE1881F3B5E2C64525 Connection: close",cmdi,csic_2010
id=2&nombre=Jam%F3n+Ib%E9rico&precio=85%7C&cantidad=80&B1=A%F1adir+al+carrito,cmdi,csic_2010
"GET http://localhost:8080/tienda1/publico/caracteristicas.jsp?id=%7C HTTP/1.1 User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) Pragma: no-cache Cache-control: no-cache Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5 Accept-Encoding: x-gzip, x-deflate, gzip, deflate Accept-Charset: utf-8, utf-8;q=0.5, *;q=0.5 Accept-Language: en Host: localhost:8080 Cookie: JSESSIONID=D8E776C0FDF6C5DE46249C777833497B Connection: close",cmdi,csic_2010
id=%7C,cmdi,csic_2010
"GET http://localhost:8080/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito%7C HTTP/1.1 User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) Pragma: no-cache Cache-control: no-cache Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5 Accept-Encoding: x-gzip, x-deflate, gzip, deflate Accept-Charset: utf-8, utf-8;q=0.5, *;q=0.5 Accept-Language: en Host: localhost:8080 Cookie: JSESSIONID=84D3AE10BBE76C1CB46740CE01EF272C Connection: close",cmdi,csic_2010
"GET http://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=3089&B1=%7C HTTP/1.1 User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) Pragma: no-cache Cache-control: no-cache Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5 Accept-Encoding: x-gzip, x-deflate, gzip, deflate Accept-Charset: utf-8, utf-8;q=0.5, *;q=0.5 Accept-Language: en Host: localhost:8080 Cookie: JSESSIONID=45F47160D35B7AFBBE425D7309C91A37 Connection: close",cmdi,csic_2010
