Feature,Importance
entropy,2374
length,2118
special_char_ratio,1854
equals_count,586
url_enc_ratio,238
max_nesting_depth,213
url_enc_count,197
shell_meta_count,179
char_tfidf_://,174
char_tfidf_xml,169
shell_cmd_count,116
has_ssti_el,107
char_tfidf_get,103
sql_comment_count,100
word_tfidf_7c,92
char_tfidf_ent,86
char_tfidf_ion,83
char_tfidf_%25,81
word_tfidf_id,81
char_tfidf_rle,80
char_tfidf_sys,79
char_tfidf_ect,79
word_tfidf_var,79
char_tfidf_%3d,79
char_tfidf_omp,78
char_tfidf_etc,78
char_tfidf_fil,77
char_tfidf_cat,76
char_tfidf_nti,74
has_ssti_jinja,74
char_tfidf_%2f,71
char_tfidf_ell,70
char_tfidf_nqu,70
char_tfidf_que,69
has_ssrf_host,69
word_tfidf_r0vuic8,67
cmd_separator_count,67
char_tfidf_pro,66
char_tfidf_%3a,66
char_tfidf_d%2,64
char_tfidf_ert,62
char_tfidf_com,61
ampersand_count,61
char_tfidf_dat,60
word_tfidf_pd94bwwgdmvyc2lvbj0ims4wij8,60
char_tfidf_24%,58
word_tfidf_script,58
char_tfidf_ser,57
char_tfidf_for,56
word_tfidf_xml,56
char_tfidf_%40,56
char_tfidf_%20,55
char_tfidf_jsp,55
char_tfidf_ing,54
char_tfidf_set,54
char_tfidf_est,53
"char_tfidf_"": ",53
word_tfidf_name,53
char_tfidf_xxx,52
word_tfidf_u003d,52
char_tfidf_%27,50
char_tfidf_ico,50
char_tfidf_tem,50
char_tfidf_id=,49
char_tfidf_doc,49
char_tfidf_wii,49
char_tfidf_aut,49
char_tfidf_oot,49
char_tfidf_ica,49
char_tfidf_use,49
char_tfidf_%2c,48
word_tfidf_precioa,47
word_tfidf_lt,47
word_tfidf_or,46
has_path_traversal,46
char_tfidf_mjm,46
char_tfidf_wor,46
char_tfidf_ale,46
char_tfidf_dir,45
char_tfidf_ata,45
char_tfidf_ess,44
char_tfidf_257,43
char_tfidf_lic,43
char_tfidf_ciu,42
word_tfidf_user,41
char_tfidf_log,41
char_tfidf_003,41
char_tfidf_%2c+,41
char_tfidf_cha,41
question_mark_count,40
char_tfidf_ibl,40
char_tfidf_253a,40
word_tfidf_127,40
char_tfidf_ble,40
char_tfidf_nda,40
word_tfidf_jndi,39
char_tfidf_ass,39
word_tfidf_modoa,39
char_tfidf_8%2,39
word_tfidf_3a,39
word_tfidf_b1,39
word_tfidf_exploit,38
char_tfidf_ers,38
char_tfidf_aler,38
word_tfidf_u003c,38
char_tfidf_ind,38
char_tfidf_con,38
char_tfidf_tes,38
char_tfidf_ikp,37
char_tfidf_o%2,37
word_tfidf_2b,37
word_tfidf_ini,37
char_tfidf_ode,37
char_tfidf_%253,37
char_tfidf_a%2,37
word_tfidf_29,36
char_tfidf_pla,36
word_tfidf_logina,36
word_tfidf_257d,36
char_tfidf_ien,36
char_tfidf_file,36
char_tfidf_%3c,36
char_tfidf_enc,35
word_tfidf_u002f u002f,35
backticks_count,35
char_tfidf_ile,35
word_tfidf_3e,35
word_tfidf_txt,35
word_tfidf_from,34
char_tfidf_htt,34
word_tfidf_email,34
word_tfidf_b1a,33
char_tfidf_c%2,33
char_tfidf_ler,33
char_tfidf_cal,33
word_tfidf_u0025 u0037,32
html_tag_count,32
single_quote_imbalance,32
char_tfidf_ont,32
char_tfidf_%7b,32
word_tfidf_com,32
word_tfidf_3f,31
char_tfidf_nte,31
word_tfidf_nombrea,31
word_tfidf_file,31
word_tfidf_in,31
char_tfidf_htm,31
char_tfidf_cia,31
word_tfidf_u003a u002f,31
word_tfidf_20,31
has_html_entities,31
word_tfidf_and,31
char_tfidf_ros,31
char_tfidf_lin,31
char_tfidf_pel,31
char_tfidf_ord,30
char_tfidf_typ,30
word_tfidf_modo,30
word_tfidf_php,30
word_tfidf_u0028,30
word_tfidf_3c,30
char_tfidf_.co,30
char_tfidf_9%2,30
word_tfidf_apellidos,29
has_newline_inject,29
word_tfidf_u007d,29
word_tfidf_etc,29
char_tfidf_tro,29
word_tfidf_to,29
char_tfidf_t%2,29
char_tfidf_u00,28
char_tfidf_ist,28
char_tfidf_end,28
char_tfidf_%252,28
has_ssti_asp,28
word_tfidf_ida,28
char_tfidf_ail,27
char_tfidf_3c%,27
word_tfidf_gt,27
char_tfidf_2%2,27
word_tfidf_253c,27
word_tfidf_7d,27
word_tfidf_xss,27
char_tfidf_0%2,27
char_tfidf_%253a,27
char_tfidf_20%,27
word_tfidf_src,27
char_tfidf_252,27
char_tfidf_...,27
char_tfidf_cho,27
char_tfidf_020,27
word_tfidf_253e,27
word_tfidf_bin,26
char_tfidf_e%2,26
word_tfidf_u007b,26
word_tfidf_u003e,26
char_tfidf_29%,26
word_tfidf_body,26
char_tfidf_emb,26
char_tfidf_ter,26
word_tfidf_select,26
char_tfidf_**/,26
char_tfidf_cod,26
char_tfidf_url,26
word_tfidf_exec,25
word_tfidf_ntc,25
word_tfidf_entity,25
char_tfidf_str,25
char_tfidf_26%2,25
char_tfidf_zip,25
char_tfidf_rsi,25
js_event_count,25
char_tfidf_006,25
char_tfidf_http,25
word_tfidf_257c,25
word_tfidf_http,25
char_tfidf_253,25
word_tfidf_2f,24
word_tfidf_pwd,24
char_tfidf_.jsp ,24
char_tfidf_ver,24
char_tfidf_lla,24
word_tfidf_10 10,24
char_tfidf_ror,24
word_tfidf_de,24
char_tfidf_ecc,24
word_tfidf_253a,24
char_tfidf_pub,24
char_tfidf_app,23
hex_oct_escapes_count,23
char_tfidf_%253d,23
char_tfidf_ire,23
char_tfidf_%24,23
word_tfidf_u002e,23
word_tfidf_password,23
char_tfidf_echo,23
char_tfidf_iwi,23
word_tfidf_foo,23
word_tfidf_mysql,23
word_tfidf_template,23
char_tfidf_te ,23
word_tfidf_org,23
char_tfidf_1.1,23
char_tfidf_gin,23
char_tfidf_l%2,23
char_tfidf_t-t,23
word_tfidf_253b,22
word_tfidf_ls,22
char_tfidf_cty,22
word_tfidf_attacker,22
char_tfidf_002,22
word_tfidf_2c,22
char_tfidf_ost,22
char_tfidf_2520,22
word_tfidf_x27,22
char_tfidf_zil,22
cmd_substitution_count,22
char_tfidf_ste,22
char_tfidf_ech,21
char_tfidf_ate,21
char_tfidf_%3b,21
char_tfidf_gua,21
char_tfidf_%257,21
char_tfidf_ar&,21
char_tfidf_pas,21
word_tfidf_2fscript,21
char_tfidf_tio,21
char_tfidf_uer,21
char_tfidf_mai,21
word_tfidf_html,21
word_tfidf_rce,21
word_tfidf_10,21
word_tfidf_javascript,21
word_tfidf_apache,21
word_tfidf_2520,20
char_tfidf_data,20
char_tfidf_assw,20
word_tfidf_gif http,20
word_tfidf_direccion 2f,20
word_tfidf_system,20
char_tfidf_lli,20
word_tfidf_get,20
word_tfidf_conf,20
char_tfidf_st ,20
char_tfidf_../,19
char_tfidf_1%2,19
char_tfidf_tex,19
char_tfidf_tion,19
word_tfidf_provincia,19
word_tfidf_all,19
char_tfidf_cio,19
word_tfidf_u003a,19
char_tfidf_b%2,19
char_tfidf_\u0,19
word_tfidf_u006a,19
word_tfidf_8080 tienda1,19
word_tfidf_config,19
char_tfidf_3a%,19
word_tfidf_div,19
word_tfidf_u002a,19
char_tfidf_/..,19
word_tfidf_href,18
char_tfidf_bre,18
char_tfidf_tib,18
word_tfidf_java,18
char_tfidf_age,18
char_tfidf_007,18
double_quote_imbalance,18
